# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May  6 22:14:38 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.60206 0.8076962829 2.4213865286    0.807 -0.492  3.7025  4.599    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.262e-01 2.593e-01 2.564e-03 7.006e-04 6.366e-03 -1.000 1.449e-02 6.000 7.995 7.196 6.275 5.692 5.260 4.654 4.163 4.093
0.0152 0.01508 9.60206 0.8500000238 2.4350346840    0.850 -0.377  3.7194  4.574    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-14      0.00 7.281e-01 2.575e-01 2.549e-03 6.964e-04 6.329e-03 -1.000 1.439e-02 5.713 7.389 6.760 5.908 5.380 4.979 4.428 3.985 3.922
0.0152 0.01508 9.60206 0.8698986173 2.4409290632    0.869 -0.324  3.7267  4.560    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-14      0.00 7.293e-01 2.564e-01 2.540e-03 6.940e-04 6.306e-03 -1.000 1.434e-02 5.580 7.129 6.572 5.747 5.240 4.851 4.323 3.899 3.839
0.0152 0.01508 9.60206 0.9000000358 2.4492786175    0.899 -0.245  3.7374  4.539    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-14      0.00 7.310e-01 2.548e-01 2.525e-03 6.901e-04 6.272e-03 -1.000 1.423e-02 5.382 6.750 6.293 5.510 5.034 4.663 4.167 3.772 3.716
0.0152 0.01508 9.60206 0.9096310139 2.4518162433    0.909 -0.220  3.7406  4.531    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-14      0.00 7.317e-01 2.541e-01 2.520e-03 6.886e-04 6.258e-03 -1.000 1.420e-02 5.319 6.634 6.206 5.436 4.969 4.603 4.118 3.730 3.676
0.0152 0.01508 9.60206 0.9326230884 2.4576313612    0.932 -0.160  3.7480  4.511    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.99e-14      0.00 7.334e-01 2.525e-01 2.505e-03 6.848e-04 6.225e-03 -1.000 1.413e-02 5.170 6.352 6.004 5.265 4.820 4.466 4.002 3.631 3.581
0.0152 0.01508 9.60206 0.9500000477 2.4618122009    0.949 -0.115  3.7534  4.496    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.58e-14      0.00 7.347e-01 2.512e-01 2.495e-03 6.819e-04 6.199e-03 -1.000 1.408e-02 5.058 6.151 5.855 5.139 4.709 4.363 3.914 3.555 3.508
0.0152 0.01508 9.60206 0.9538692236 2.4627192986    0.953 -0.105  3.7545  4.493    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.72e-14      0.00 7.351e-01 2.508e-01 2.492e-03 6.811e-04 6.191e-03 -1.000 1.407e-02 5.033 6.109 5.823 5.112 4.684 4.340 3.894 3.538 3.491
0.0152 0.01508 9.60206 0.9735065103 2.4671955507    0.973 -0.054  3.7601  4.473    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.51e-14      0.00 7.371e-01 2.490e-01 2.475e-03 6.767e-04 6.152e-03 -1.000 1.400e-02 4.906 5.896 5.660 4.972 4.559 4.224 3.792 3.449 3.404
0.0152 0.01508 9.60206 0.9917975664 2.4711820955    0.992 -0.007  3.7651  4.454    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.34e-14      0.00 7.390e-01 2.471e-01 2.459e-03 6.724e-04 6.114e-03 -1.000 1.391e-02 4.789 5.708 5.511 4.844 4.444 4.117 3.699 3.366 3.324
0.0152 0.01508 9.60206 1.0000000000 2.4729154477    1.000  0.013  3.7673  4.445    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.75e-14      0.00 7.399e-01 2.463e-01 2.452e-03 6.704e-04 6.096e-03 -1.000 1.386e-02 4.736 5.625 5.445 4.787 4.393 4.069 3.657 3.329 3.288
0.0152 0.01508 9.60206 1.0013530254 2.4731982353    1.001  0.017  3.7676  4.444    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-14      0.00 7.401e-01 2.461e-01 2.451e-03 6.700e-04 6.092e-03 -1.000 1.386e-02 4.728 5.612 5.435 4.778 4.385 4.061 3.650 3.323 3.282
0.0152 0.01508 9.60206 1.0203638077 2.4770805482    1.020  0.066  3.7722  4.422    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.63e-14      0.00 7.429e-01 2.434e-01 2.427e-03 6.638e-04 6.036e-03 -1.000 1.373e-02 4.606 5.428 5.284 4.647 4.266 3.950 3.551 3.234 3.195
0.0152 0.01508 9.60206 1.0379914045 2.4805346519    1.037  0.111  3.7763  4.400    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.47e-14      0.00 7.457e-01 2.407e-01 2.405e-03 6.576e-04 5.981e-03 -1.000 1.361e-02 4.493 5.262 5.145 4.528 4.157 3.848 3.459 3.151 3.114
0.0152 0.01508 9.60206 1.0499999523 2.4828114860    1.049  0.141  3.7790  4.385    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.476e-01 2.388e-01 2.388e-03 6.532e-04 5.942e-03 -1.000 1.355e-02 4.416 5.152 5.052 4.447 4.082 3.778 3.396 3.094 3.058
0.0152 0.01508 9.60206 1.0649253130 2.4855592052    1.064  0.180  3.7821  4.366    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.510e-01 2.356e-01 2.360e-03 6.458e-04 5.875e-03 -1.000 1.337e-02 4.321 5.022 4.939 4.347 3.990 3.691 3.317 3.020 2.986
0.0152 0.01508 9.60206 1.0812900066 2.4884718664    1.080  0.221  3.7852  4.343    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.550e-01 2.318e-01 2.328e-03 6.370e-04 5.796e-03 -1.000 1.319e-02 4.217 4.885 4.818 4.239 3.890 3.595 3.228 2.939 2.906
0.0152 0.01508 9.60206 1.0963908434 2.4910710647    1.095  0.259  3.7878  4.321    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-13      0.00 7.589e-01 2.281e-01 2.296e-03 6.285e-04 5.720e-03 -1.000 1.300e-02 4.122 4.763 4.708 4.141 3.797 3.507 3.147 2.862 2.830
0.0152 0.01508 9.60206 1.1000000238 2.4916801480    1.099  0.268  3.7884  4.316    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.599e-01 2.272e-01 2.289e-03 6.264e-04 5.702e-03 -1.000 1.296e-02 4.099 4.734 4.682 4.117 3.775 3.486 3.127 2.844 2.812
0.0152 0.01508 9.60206 1.1045409441 2.4924399722    1.103  0.280  3.7891  4.310    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.606e-01 2.265e-01 2.284e-03 6.252e-04 5.691e-03 -1.000 1.294e-02 4.071 4.699 4.649 4.088 3.748 3.460 3.103 2.821 2.790
0.0152 0.01508 9.60206 1.1193032265 2.4948612043    1.118  0.315  3.7911  4.288    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.627e-01 2.244e-01 2.271e-03 6.221e-04 5.662e-03 -1.000 1.290e-02 3.982 4.591 4.549 3.997 3.661 3.376 3.024 2.747 2.716
0.0152 0.01508 9.60206 1.1330542564 2.4970514286    1.132  0.347  3.7926  4.267    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.644e-01 2.228e-01 2.261e-03 6.201e-04 5.640e-03 -1.000 1.286e-02 3.902 4.498 4.461 3.916 3.583 3.301 2.952 2.678 2.648
0.0152 0.01508 9.60206 1.1452981234 2.4989507791    1.144  0.376  3.7938  4.248    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 7.657e-01 2.215e-01 2.254e-03 6.187e-04 5.626e-03 -1.000 1.281e-02 3.830 4.415 4.382 3.842 3.513 3.232 2.886 2.614 2.584
0.0152 0.01508 9.60206 1.1499999762 2.4996678137    1.149  0.387  3.7943  4.240    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-13      0.00 7.662e-01 2.210e-01 2.252e-03 6.182e-04 5.622e-03 -1.000 1.279e-02 3.801 4.382 4.350 3.813 3.484 3.204 2.859 2.589 2.559
0.0152 0.01508 9.60206 1.1511204243 2.4998376890    1.150  0.390  3.7943  4.238    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 7.662e-01 2.211e-01 2.253e-03 6.184e-04 5.623e-03 -1.000 1.279e-02 3.795 4.376 4.344 3.806 3.478 3.198 2.854 2.583 2.553
0.0152 0.01508 9.60206 1.1736133099 2.5031691668    1.173  0.436  3.7942  4.200    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-13      0.00 7.646e-01 2.225e-01 2.274e-03 6.237e-04 5.679e-03 -1.000 1.295e-02 3.679 4.261 4.227 3.690 3.362 3.082 2.737 2.467 2.437
0.0152 0.01508 9.60206 1.1880568266 2.5052321133    1.187  0.463  3.7934  4.175    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.640e-01 2.231e-01 2.285e-03 6.257e-04 5.711e-03 -1.000 1.298e-02 3.613 4.203 4.164 3.624 3.295 3.014 2.666 2.394 2.364
0.0152 0.01508 9.60206 1.1926239729 2.5058724863    1.192  0.480  3.7943  4.163    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-13      0.00 7.638e-01 2.232e-01 2.289e-03 6.262e-04 5.720e-03 -1.000 1.300e-02 3.570 4.151 4.116 3.580 3.253 2.973 2.628 2.358 2.329
0.0152 0.01508 9.60206 1.1961252689 2.5063596068    1.195  0.497  3.7957  4.153    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-13      0.00 7.639e-01 2.231e-01 2.290e-03 6.263e-04 5.724e-03 -1.000 1.301e-02 3.527 4.096 4.065 3.535 3.211 2.934 2.592 2.325 2.296
0.0152 0.01508 9.60206 1.1983838081 2.5066720916    1.197  0.513  3.7972  4.144    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-13      0.00 7.640e-01 2.230e-01 2.290e-03 6.261e-04 5.725e-03 -1.000 1.301e-02 3.488 4.044 4.018 3.495 3.174 2.899 2.561 2.297 2.268
0.0152 0.01508 9.60206 1.1999071836 2.5068820976    1.199  0.529  3.7989  4.136    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-13      0.00 7.641e-01 2.229e-01 2.289e-03 6.259e-04 5.724e-03 -1.000 1.300e-02 3.448 3.990 3.969 3.453 3.136 2.864 2.530 2.270 2.242
0.0152 0.01508 9.60206 1.2000000477 2.5068948796    1.199  0.531  3.7991  4.135    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-13      0.00 7.641e-01 2.229e-01 2.289e-03 6.259e-04 5.724e-03 -1.000 1.300e-02 3.444 3.984 3.964 3.449 3.132 2.860 2.527 2.267 2.238
0.0152 0.01508 9.60206 1.2025077343 2.5072391848    1.201  0.545  3.8000  4.125    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-13      0.00 7.640e-01 2.230e-01 2.290e-03 6.261e-04 5.728e-03 -1.000 1.301e-02 3.408 3.940 3.923 3.412 3.097 2.827 2.496 2.238 2.210
0.0152 0.01508 9.60206 1.2293975353 2.5108298604    1.228  0.623  3.7984  4.050    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-13      0.00 7.624e-01 2.245e-01 2.304e-03 6.290e-04 5.766e-03 -1.000 1.309e-02 3.213 3.762 3.734 3.218 2.901 2.629 2.293 2.033 2.004
0.0152 0.01508 9.60206 1.2468116283 2.5130604306    1.246  0.670  3.7954  3.997    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.41e-13      0.00 7.614e-01 2.255e-01 2.313e-03 6.309e-04 5.791e-03 -1.000 1.313e-02 3.096 3.672 3.630 3.102 2.779 2.503 2.160 1.894 1.863
0.0152 0.01508 9.60206 1.2500000000 2.5134610955    1.249  0.678  3.7947  3.987    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.49e-13      0.00 7.612e-01 2.257e-01 2.314e-03 6.312e-04 5.796e-03 -1.000 1.314e-02 3.074 3.656 3.612 3.081 2.757 2.479 2.135 1.867 1.836
0.0152 0.01508 9.60206 1.2655637264 2.5153836210    1.265  0.716  3.7882  3.929    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-13      0.00 7.595e-01 2.273e-01 2.327e-03 6.347e-04 5.826e-03 -1.000 1.323e-02 2.981 3.623 3.552 2.995 2.657 2.369 2.009 1.728 1.695
0.0152 0.01508 9.60206 1.2771161795 2.5167758586    1.276  0.736  3.7788  3.875    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -4.22e-13      0.00 7.538e-01 2.328e-01 2.368e-03 6.457e-04 5.924e-03 -1.000 1.346e-02 2.929 3.665 3.551 2.955 2.596 2.294 1.910 1.610 1.573
0.0152 0.01508 9.60206 1.2869350910 2.5179366087    1.286  0.727  3.7623  3.822    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-13      0.00 7.397e-01 2.463e-01 2.471e-03 6.731e-04 6.169e-03 -1.000 1.399e-02 2.953 3.882 3.676 3.009 2.612 2.282 1.854 1.517 1.474
0.0152 0.01508 9.60206 1.2934216261 2.5186923124    1.293  0.694  3.7435  3.782    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.09e-13      0.00 7.264e-01 2.590e-01 2.574e-03 7.005e-04 6.414e-03 -1.000 1.457e-02 3.036 4.222 3.882 3.138 2.696 2.335 1.854 1.471 1.419
0.0152 0.01508 9.60206 1.2964694500 2.5190443928    1.296  0.673  3.7320  3.758    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-13      0.00 7.213e-01 2.639e-01 2.613e-03 7.110e-04 6.508e-03 -1.000 1.478e-02 3.089 4.441 4.013 3.226 2.756 2.377 1.861 1.448 1.393
0.0152 0.01508 9.60206 1.2982429266 2.5192483877    1.297  0.660  3.7250  3.743    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-13      0.00 7.187e-01 2.664e-01 2.632e-03 7.162e-04 6.554e-03 -1.000 1.488e-02 3.120 4.580 4.096 3.282 2.795 2.404 1.865 1.434 1.376
0.0152 0.01508 9.60206 1.2996877432 2.5194141051    1.299  0.657  3.7201  3.727    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-13      0.00 7.171e-01 2.680e-01 2.643e-03 7.193e-04 6.581e-03 -1.000 1.494e-02 3.126 4.661 4.139 3.305 2.806 2.407 1.853 1.408 1.348
0.0152 0.01508 9.60206 1.2999999523 2.5194498592    1.299  0.659  3.7193  3.722    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.96e-13      0.00 7.168e-01 2.683e-01 2.644e-03 7.198e-04 6.584e-03 -1.000 1.495e-02 3.123 4.672 4.142 3.305 2.804 2.403 1.846 1.399 1.339
