# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Apr 30 20:12:15 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 10.00000 0.0900000036 1.0816895926    0.090 -3.423  3.3625  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.080e-01 2.767e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.327 22.603 19.980 18.143 15.989 13.739 11.236 10.622 10.333
0.0152 0.01508 10.00000 0.1000000015 1.1711064122    0.100 -3.240  3.3884  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-17      0.00 7.076e-01 2.771e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.871 22.084 19.497 17.669 15.527 13.283 10.781 10.168 9.875
0.0152 0.01508 10.00000 0.1077039689 1.2324166301    0.108 -3.133  3.4026  5.165    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-17      0.00 7.072e-01 2.775e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.601 21.779 19.212 17.389 15.255 13.013 10.512 9.899 9.604
0.0152 0.01508 10.00000 0.1200000122 1.3193155232    0.120 -2.975  3.4232  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.067e-01 2.780e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.209 21.003 18.569 16.775 14.723 12.538 10.135 9.521 9.222
0.0152 0.01508 10.00000 0.1400000006 1.4384526719    0.140 -2.792  3.4435  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.060e-01 2.788e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.749 19.457 17.352 15.646 13.832 11.817 9.723 9.107 8.808
0.0152 0.01508 10.00000 0.1496137679 1.4881080127    0.150 -2.721  3.4502  5.087    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-16      0.00 7.056e-01 2.791e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.573 18.951 16.940 15.263 13.521 11.563 9.563 8.946 8.648
0.0152 0.01508 10.00000 0.1599999964 1.5372931554    0.160 -2.650  3.4571  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.053e-01 2.794e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.395 18.449 16.532 14.874 13.206 11.312 9.402 8.785 8.488
0.0152 0.01508 10.00000 0.2000000030 1.6938790862    0.200 -2.430  3.4758  5.025    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-16      0.00 7.042e-01 2.806e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.846 17.106 15.404 13.806 12.320 10.593 8.898 8.279 7.991
0.0152 0.01508 10.00000 0.2500000000 1.8403257998    0.250 -2.217  3.4921  4.974    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.033e-01 2.814e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.314 15.987 14.433 12.870 11.517 9.943 8.406 7.785 7.507
0.0152 0.01508 10.00000 0.3000000119 1.9529139769    0.300 -2.052  3.5027  4.930    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-17      0.00 7.030e-01 2.817e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.900 15.252 13.775 12.245 10.963 9.471 8.018 7.393 7.124
